Date,Type,Macro_Score,Raw_PnL,Commission,Profit,Balance,Units,Contracts
2020-01-28 00:00:00,Buy,1,-100.0,1.36,-101.36,9898.64,271.73913043478103,0.27
2020-01-30 00:00:00,Sell,-1,272.21,0.83,271.38,10170.02,166.36371940080411,0.17
2020-01-30 16:00:00,Sell,-1,-101.7,0.76,-102.46,10067.56,152.93266348301353,0.15
2020-02-05 08:00:00,Buy,1,-100.68,0.94,-101.61,9965.94,187.82756039340936,0.19
2020-02-10 08:00:00,Sell,-1,274.06,1.53,272.53,10238.48,305.7037584942919,0.31
2020-02-11 00:00:00,Buy,1,281.56,2.25,279.31,10517.79,449.0560275268353,0.45
2020-02-12 20:00:00,Buy,1,-105.18,0.77,-105.95,10411.84,154.44625957023803,0.15
2020-02-14 00:00:00,Sell,-1,-104.12,2.53,-106.65,10305.19,505.42913313922037,0.51
2020-02-18 00:00:00,Sell,-1,283.39,3.65,279.74,10584.93,730.864864934457,0.73
2020-02-19 00:00:00,Buy,1,-105.85,4.07,-109.92,10475.01,814.225624817673,0.81
2020-02-19 08:00:00,Buy,1,-104.75,1.64,-106.39,10368.63,327.34414572746834,0.33
2020-02-20 08:00:00,Sell,-1,-103.69,1.67,-105.35,10263.27,333.3963284860955,0.33
2020-02-24 00:00:00,Sell,-1,282.24,2.77,279.47,10542.74,554.7714906008559,0.55
2020-02-28 00:00:00,Sell,-1,-105.43,0.54,-105.97,10436.77,108.35291587365012,0.11
2020-03-11 00:00:00,Buy,1,-104.37,2.15,-106.52,10330.25,429.49668982640435,0.43
2020-03-12 00:00:00,Buy,1,-103.3,0.81,-104.11,10226.14,161.41022474538684,0.16
2020-03-13 00:00:00,Buy,1,-102.26,1.53,-103.79,10122.36,305.25805339534224,0.31
2020-03-16 00:00:00,Sell,-1,278.36,0.66,277.71,10400.06,131.45918247518875,0.13
2020-03-16 20:00:00,Sell,-1,-104.0,0.4,-104.41,10295.66,80.8714197011542,0.08
2020-03-17 08:00:00,Buy,1,-102.96,0.77,-103.73,10191.93,154.5894830440573,0.15
2020-03-19 08:00:00,Buy,1,-101.92,0.29,-102.21,10089.72,58.912890333015476,0.06
2020-03-31 00:00:00,Buy,1,277.47,2.46,275.01,10364.72,492.18127623823347,0.49
2020-03-31 08:00:00,Buy,1,-103.65,0.84,-104.49,10260.23,168.25848134711038,0.17
2020-04-03 00:00:00,Sell,-1,-102.6,0.97,-103.57,10156.66,193.58931951066822,0.19
2020-04-07 00:00:00,Buy,1,-101.57,1.34,-102.9,10053.76,267.2806223191409,0.27
2020-04-08 00:00:00,Buy,0,-100.54,0.74,-101.28,9952.48,147.84942071373993,0.15
2020-04-13 00:00:00,Buy,0,-99.52,1.18,-100.71,9851.77,236.96389893679552,0.24
2020-04-16 00:00:00,Buy,1,-98.52,1.82,-100.34,9751.43,364.8805221591603,0.36
2020-04-17 00:00:00,Buy,1,-97.51,1.57,-99.09,9652.34,314.5623211194668,0.31
2020-04-17 16:00:00,Buy,1,-96.52,0.55,-97.08,9555.27,110.94649222472297,0.11
2020-04-21 16:00:00,Sell,-1,-95.55,0.22,-95.77,9459.49,43.83149836171687,0.04
2020-04-28 00:00:00,Sell,-1,260.14,1.69,258.45,9717.94,337.83910067621025,0.34
2020-04-29 00:00:00,Buy,1,267.24,1.64,265.61,9983.55,327.2034252845563,0.33
2020-04-30 00:00:00,Buy,1,274.55,2.5,272.05,10255.6,499.1774555712999,0.5
2020-04-30 12:00:00,Buy,1,-102.56,0.52,-103.08,10152.52,104.64898800726851,0.1
2020-05-04 00:00:00,Sell,-1,279.19,2.67,276.52,10429.04,534.3432406065938,0.53
2020-05-04 08:00:00,Sell,-1,-104.29,0.77,-105.06,10323.99,153.36829703733932,0.15
2020-05-06 08:00:00,Buy,1,-103.24,0.99,-104.23,10219.75,198.53820990516343,0.2
2020-05-08 00:00:00,Buy,1,281.04,1.49,279.55,10499.31,297.95202200782154,0.3
2020-05-08 16:00:00,Buy,1,-104.99,0.63,-105.63,10393.68,126.49768481345951,0.13
2020-05-12 20:00:00,Sell,0,-103.94,0.94,-104.88,10288.8,188.97604132177938,0.19
2020-05-14 00:00:00,Buy,0,-102.89,2.57,-105.46,10183.34,514.4400284882164,0.51
2020-05-14 16:00:00,Buy,0,280.04,0.66,279.38,10462.72,132.42315167651734,0.13
2020-05-18 20:00:00,Buy,1,-104.63,0.6,-105.23,10357.49,120.3995409456127,0.12
2020-05-19 08:00:00,Sell,-1,-103.57,0.7,-104.27,10253.22,139.02672361593707,0.14
2020-05-21 00:00:00,Buy,1,281.96,2.63,279.33,10532.56,525.8061982910415,0.53
2020-05-22 00:00:00,Buy,0,-105.33,4.05,-109.38,10423.18,810.1965699628641,0.81
2020-05-22 08:00:00,Sell,0,-104.23,0.48,-104.71,10318.46,96.60036026480488,0.1
2020-05-27 00:00:00,Sell,-1,283.76,1.69,282.07,10600.53,338.3102977719808,0.34
2020-05-27 20:00:00,Sell,-1,-106.01,0.55,-106.56,10493.97,110.42219055013317,0.11
2020-05-29 00:00:00,Sell,-1,-104.94,1.19,-106.13,10387.84,238.49938361208635,0.24
2020-06-01 00:00:00,Buy,1,-103.88,1.21,-105.09,10282.75,241.57768960987306,0.24
2020-06-01 08:00:00,Buy,1,-102.83,1.06,-103.89,10178.87,212.01555377823203,0.21
2020-06-02 00:00:00,Buy,1,-101.79,3.64,-105.42,10073.44,727.0619097780988,0.73
2020-06-03 16:00:00,Buy,1,277.02,0.5,276.52,10349.96,100.2332612932842,0.1
2020-06-08 08:00:00,Sell,-1,284.62,0.71,283.92,10633.88,141.00764672435983,0.14
2020-06-10 00:00:00,Sell,-1,-106.34,1.09,-107.42,10526.46,217.01796257647732,0.22
2020-06-11 00:00:00,Sell,-1,289.48,1.91,287.56,10814.02,382.78022817352206,0.38
2020-06-12 08:00:00,Buy,1,297.39,0.52,296.87,11110.89,103.4834442218892,0.1
2020-06-17 00:00:00,Sell,0,-111.11,1.21,-112.32,10998.57,241.5410446043253,0.24
2020-06-18 00:00:00,Sell,-1,302.46,4.58,297.88,11296.45,916.5476221715173,0.92
2020-06-29 00:00:00,Sell,-1,-112.96,2.76,-115.72,11180.73,551.0463143055513,0.55
