Ticket,OpenTime,Type,Lots,OpenPrice,ClosePrice,Commission,Swap,Profit,Comment,Balance
100001,2016-08-11 20:30:00,Buy,0.01,45.909,46.053,0.0,0.0,200.0,Inside Bar Strategy,10200.0
100002,2016-08-12 02:00:00,Buy,0.02,46.115,46.062,0.0,0.0,-102.0,Inside Bar Strategy,10098.0
100003,2016-08-12 03:30:00,Buy,0.01,46.212,46.444,0.0,0.0,201.96,Inside Bar Strategy,10299.96
100004,2016-08-12 05:30:00,Sell,0.0,46.343,45.889,0.0,0.0,206.0,Inside Bar Strategy,10505.96
100005,2016-08-12 16:00:00,Buy,0.0,46.798,46.575,0.0,0.0,-105.06,Inside Bar Strategy,10400.9
100006,2016-08-12 19:30:00,Buy,0.02,46.929,47.017,0.0,0.0,208.02,Inside Bar Strategy,10608.92
100007,2016-08-15 02:30:00,Buy,0.01,47.304,47.227,0.0,0.0,-106.09,Inside Bar Strategy,10502.83
100008,2016-08-15 05:00:00,Buy,0.02,47.238,47.189,0.0,0.0,-105.03,Inside Bar Strategy,10397.8
100009,2016-08-15 11:00:00,Buy,0.01,47.15,47.036,0.0,0.0,-103.98,Inside Bar Strategy,10293.82
100010,2016-08-15 17:00:00,Sell,0.01,48.045,48.178,0.0,0.0,-102.94,Inside Bar Strategy,10190.88
100011,2016-08-15 19:30:00,Buy,0.01,48.419,48.329,0.0,0.0,-101.91,Inside Bar Strategy,10088.98
100012,2016-08-16 01:30:00,Buy,0.02,48.152,48.097,0.0,0.0,-100.89,Inside Bar Strategy,9988.09
100013,2016-08-16 02:30:00,Sell,0.02,48.014,48.071,0.0,0.0,-99.88,Inside Bar Strategy,9888.2
100014,2016-08-16 05:00:00,Buy,0.01,48.078,48.009,0.0,0.0,-98.88,Inside Bar Strategy,9789.32
100015,2016-08-16 11:00:00,Buy,0.01,48.599,48.5,0.0,0.0,-97.89,Inside Bar Strategy,9691.43
100016,2016-08-16 13:30:00,Sell,0.0,48.284,48.535,0.0,0.0,-96.91,Inside Bar Strategy,9594.51
100017,2016-08-16 16:00:00,Buy,0.0,48.987,48.747,0.0,0.0,-95.95,Inside Bar Strategy,9498.57
100018,2016-08-17 00:30:00,Sell,0.01,48.783,48.914,0.0,0.0,-94.99,Inside Bar Strategy,9403.58
100019,2016-08-17 02:00:00,Sell,0.01,48.889,48.665,0.0,0.0,188.07,Inside Bar Strategy,9591.66
100020,2016-08-17 09:00:00,Buy,0.01,48.715,48.981,0.0,0.0,191.83,Inside Bar Strategy,9783.49
100021,2016-08-17 19:30:00,Buy,0.01,49.83,49.743,0.0,0.0,-97.83,Inside Bar Strategy,9685.65
100022,2016-08-18 02:30:00,Sell,0.01,49.633,49.699,0.0,0.0,-96.86,Inside Bar Strategy,9588.8
100023,2016-08-18 08:00:00,Sell,0.01,49.851,49.659,0.0,0.0,191.78,Inside Bar Strategy,9780.57
100024,2016-08-18 09:30:00,Buy,0.01,49.751,50.079,0.0,0.0,195.61,Inside Bar Strategy,9976.18
100025,2016-08-18 17:00:00,Buy,0.01,50.808,50.699,0.0,0.0,-99.76,Inside Bar Strategy,9876.42
100026,2016-08-18 19:30:00,Buy,0.02,50.744,50.842,0.0,0.0,197.53,Inside Bar Strategy,10073.95
100027,2016-08-19 04:00:00,Sell,0.02,50.836,50.898,0.0,0.0,-100.74,Inside Bar Strategy,9973.21
100028,2016-08-19 09:00:00,Buy,0.0,50.528,50.32,0.0,0.0,-99.73,Inside Bar Strategy,9873.48
100029,2016-08-22 02:30:00,Sell,0.01,50.166,50.028,0.0,0.0,197.47,Inside Bar Strategy,10070.95
100030,2016-08-22 05:30:00,Sell,0.01,50.017,49.731,0.0,0.0,201.42,Inside Bar Strategy,10272.37
100031,2016-08-22 11:30:00,Buy,0.01,49.35,49.648,0.0,0.0,205.45,Inside Bar Strategy,10477.82
100032,2016-08-22 16:00:00,Buy,0.01,49.4,49.276,0.0,0.0,-104.78,Inside Bar Strategy,10373.04
100033,2016-08-22 17:00:00,Sell,0.01,49.323,49.42,0.0,0.0,-103.73,Inside Bar Strategy,10269.31
100034,2016-08-22 19:30:00,Buy,0.02,49.173,49.125,0.0,0.0,-102.69,Inside Bar Strategy,10166.61
100035,2016-08-23 03:30:00,Buy,0.01,48.669,48.857,0.0,0.0,203.33,Inside Bar Strategy,10369.95
100036,2016-08-23 07:00:00,Buy,0.0,48.97,48.718,0.0,0.0,-103.7,Inside Bar Strategy,10266.25
100037,2016-08-23 09:30:00,Buy,0.01,48.69,48.528,0.0,0.0,-102.66,Inside Bar Strategy,10163.58
100038,2016-08-23 14:30:00,Buy,0.0,48.81,49.47,0.0,0.0,203.27,Inside Bar Strategy,10366.86
100039,2016-08-23 16:00:00,Sell,0.0,49.576,49.956,0.0,0.0,-103.67,Inside Bar Strategy,10263.19
100040,2016-08-23 18:00:00,Buy,0.01,49.999,49.867,0.0,0.0,-102.63,Inside Bar Strategy,10160.56
100041,2016-08-23 19:00:00,Sell,0.01,49.889,49.689,0.0,0.0,203.21,Inside Bar Strategy,10363.77
100042,2016-08-24 01:00:00,Sell,0.01,49.504,49.592,0.0,0.0,-103.64,Inside Bar Strategy,10260.13
100043,2016-08-24 02:30:00,Sell,0.01,49.519,49.377,0.0,0.0,205.2,Inside Bar Strategy,10465.33
100044,2016-08-24 05:30:00,Sell,0.01,49.336,49.13,0.0,0.0,209.31,Inside Bar Strategy,10674.64
100045,2016-08-24 09:00:00,Buy,0.01,49.37,49.232,0.0,0.0,-106.75,Inside Bar Strategy,10567.89
100046,2016-08-24 16:00:00,Buy,0.0,48.989,48.695,0.0,0.0,-105.68,Inside Bar Strategy,10462.21
100047,2016-08-25 12:00:00,Buy,0.01,48.92,48.751,0.0,0.0,-104.62,Inside Bar Strategy,10357.59
100048,2016-08-25 15:00:00,Buy,0.0,49.504,49.23,0.0,0.0,-103.58,Inside Bar Strategy,10254.02
