Ticket,OpenTime,Type,Lots,OpenPrice,ClosePrice,Commission,Swap,Profit,Comment,Balance
100001,2013-05-27 00:00:00,Sell,0.01,102.562,102.368,0.0,0.0,200.0,Inside Bar Strategy,10200.0
100002,2013-05-28 20:00:00,Buy,0.0,104.449,104.067,0.0,0.0,-102.0,Inside Bar Strategy,10098.0
100003,2013-05-29 12:00:00,Buy,0.0,104.15,103.654,0.0,0.0,-100.98,Inside Bar Strategy,9997.02
100004,2013-05-31 00:00:00,Buy,0.01,102.218,102.02,0.0,0.0,-99.97,Inside Bar Strategy,9897.05
100005,2013-06-04 00:00:00,Sell,0.01,102.007,101.663,0.0,0.0,197.94,Inside Bar Strategy,10094.99
100006,2013-06-05 04:00:00,Buy,0.01,103.449,103.262,0.0,0.0,-100.95,Inside Bar Strategy,9994.04
100007,2013-06-07 00:00:00,Buy,0.0,103.66,104.184,0.0,0.0,199.88,Inside Bar Strategy,10193.92
100008,2013-06-10 00:00:00,Sell,0.01,104.653,104.503,0.0,0.0,203.88,Inside Bar Strategy,10397.8
100009,2013-06-11 00:00:00,Buy,0.01,103.798,103.693,0.0,0.0,-103.98,Inside Bar Strategy,10293.82
100010,2013-06-12 04:00:00,Sell,0.01,102.446,102.599,0.0,0.0,-102.94,Inside Bar Strategy,10190.88
100011,2013-06-13 00:00:00,Sell,0.0,103.317,103.857,0.0,0.0,-101.91,Inside Bar Strategy,10088.98
100012,2013-06-14 00:00:00,Sell,0.01,104.795,104.505,0.0,0.0,201.78,Inside Bar Strategy,10290.75
100013,2013-06-17 00:00:00,Buy,0.02,105.849,105.786,0.0,0.0,-102.91,Inside Bar Strategy,10187.85
100014,2013-06-18 00:00:00,Buy,0.01,105.629,105.524,0.0,0.0,-101.88,Inside Bar Strategy,10085.97
100015,2013-06-18 20:00:00,Buy,0.0,106.16,105.456,0.0,0.0,-100.86,Inside Bar Strategy,9985.11
100016,2013-06-21 00:00:00,Buy,0.0,102.168,101.878,0.0,0.0,-99.85,Inside Bar Strategy,9885.26
100017,2013-06-24 00:00:00,Sell,0.01,100.765,100.395,0.0,0.0,197.71,Inside Bar Strategy,10082.96
100018,2013-06-25 00:00:00,Buy,0.01,101.078,100.959,0.0,0.0,-100.83,Inside Bar Strategy,9982.13
100019,2013-06-25 20:00:00,Sell,0.0,101.125,101.629,0.0,0.0,-99.82,Inside Bar Strategy,9882.31
100020,2013-06-27 00:00:00,Buy,0.01,101.77,102.144,0.0,0.0,197.65,Inside Bar Strategy,10079.96
100021,2013-06-27 08:00:00,Buy,0.0,102.33,101.834,0.0,0.0,-100.8,Inside Bar Strategy,9979.16
100022,2013-06-27 20:00:00,Sell,0.0,102.614,103.148,0.0,0.0,-99.79,Inside Bar Strategy,9879.37
100023,2013-07-01 00:00:00,Sell,0.01,101.913,102.08,0.0,0.0,-98.79,Inside Bar Strategy,9780.57
100024,2013-07-02 00:00:00,Buy,0.01,103.037,103.351,0.0,0.0,195.61,Inside Bar Strategy,9976.18
100025,2013-07-02 12:00:00,Buy,0.0,103.376,104.316,0.0,0.0,199.52,Inside Bar Strategy,10175.71
100026,2013-07-03 08:00:00,Buy,0.0,105.109,106.377,0.0,0.0,203.51,Inside Bar Strategy,10379.22
100027,2013-07-08 00:00:00,Buy,0.01,107.68,107.956,0.0,0.0,207.58,Inside Bar Strategy,10586.81
100028,2013-07-08 20:00:00,Sell,0.0,106.944,107.577,0.0,0.0,-105.87,Inside Bar Strategy,10480.94
100029,2013-07-10 12:00:00,Buy,0.0,108.39,108.004,0.0,0.0,-104.81,Inside Bar Strategy,10376.13
100030,2013-07-11 00:00:00,Buy,0.0,108.13,108.562,0.0,0.0,207.52,Inside Bar Strategy,10583.65
100031,2013-07-16 20:00:00,Sell,0.0,107.804,108.477,0.0,0.0,-105.84,Inside Bar Strategy,10477.82
100032,2013-07-23 00:00:00,Buy,0.01,108.19,107.995,0.0,0.0,-104.78,Inside Bar Strategy,10373.04
100033,2013-07-24 00:00:00,Buy,0.01,108.549,108.342,0.0,0.0,-103.73,Inside Bar Strategy,10269.31
100034,2013-07-25 00:00:00,Sell,0.01,106.965,107.159,0.0,0.0,-102.69,Inside Bar Strategy,10166.61
100035,2013-07-26 00:00:00,Sell,0.0,107.584,107.156,0.0,0.0,203.33,Inside Bar Strategy,10369.95
100036,2013-07-29 00:00:00,Buy,0.01,107.157,107.369,0.0,0.0,207.4,Inside Bar Strategy,10577.35
100037,2013-07-30 00:00:00,Sell,0.01,107.454,107.224,0.0,0.0,211.55,Inside Bar Strategy,10788.89
100038,2013-07-31 00:00:00,Buy,0.01,106.88,106.751,0.0,0.0,-107.89,Inside Bar Strategy,10681.0
100039,2013-08-01 16:00:00,Buy,0.0,109.309,108.466,0.0,0.0,-106.81,Inside Bar Strategy,10574.19
100040,2013-08-05 00:00:00,Buy,0.01,108.916,108.784,0.0,0.0,-105.74,Inside Bar Strategy,10468.45
100041,2013-08-06 00:00:00,Sell,0.01,108.573,108.775,0.0,0.0,-104.68,Inside Bar Strategy,10363.77
100042,2013-08-06 20:00:00,Buy,0.0,108.24,107.726,0.0,0.0,-103.64,Inside Bar Strategy,10260.13
100043,2013-08-07 20:00:00,Sell,0.0,107.188,107.749,0.0,0.0,-102.6,Inside Bar Strategy,10157.53
100044,2013-08-08 20:00:00,Buy,0.0,106.83,108.436,0.0,0.0,203.15,Inside Bar Strategy,10360.68
100045,2013-08-14 00:00:00,Sell,0.0,109.36,109.59,0.0,0.0,-103.61,Inside Bar Strategy,10257.07
100046,2013-08-15 20:00:00,Sell,0.0,109.307,109.78,0.0,0.0,-102.57,Inside Bar Strategy,10154.5
100047,2013-08-20 12:00:00,Buy,0.0,109.599,108.795,0.0,0.0,-101.55,Inside Bar Strategy,10052.96
100048,2013-08-21 00:00:00,Buy,0.01,110.13,109.973,0.0,0.0,-100.53,Inside Bar Strategy,9952.43
100049,2013-08-22 00:00:00,Sell,0.01,109.674,109.817,0.0,0.0,-99.52,Inside Bar Strategy,9852.9
