Ticket,OpenTime,Type,Lots,OpenPrice,ClosePrice,Commission,Swap,Profit,Comment,Balance
100001,2013-05-28,Buy,0.0,102.63,103.744,0.0,0.0,200.0,Inside Bar Strategy,10200.0
100002,2013-06-11,Sell,0.0,103.634,104.71,0.0,0.0,-102.0,Inside Bar Strategy,10098.0
100003,2013-07-05,Buy,0.0,105.959,108.111,0.0,0.0,201.96,Inside Bar Strategy,10299.96
100004,2013-07-24,Sell,0.0,107.534,108.6,0.0,0.0,-103.0,Inside Bar Strategy,10196.96
100005,2013-08-13,Buy,0.0,107.659,109.803,0.0,0.0,203.94,Inside Bar Strategy,10400.9
100006,2013-08-23,Buy,0.0,110.116,111.574,0.0,0.0,208.02,Inside Bar Strategy,10608.92
100007,2013-09-12,Buy,0.0,112.395,110.751,0.0,0.0,-106.09,Inside Bar Strategy,10502.83
100008,2013-09-27,Buy,0.0,109.1,107.791,0.0,0.0,-105.03,Inside Bar Strategy,10397.8
100009,2013-10-14,Sell,0.0,110.609,108.149,0.0,0.0,207.96,Inside Bar Strategy,10605.76
100010,2013-11-07,Sell,0.0,105.629,104.759,0.0,0.0,212.12,Inside Bar Strategy,10817.87
100011,2013-11-18,Buy,0.0,108.632,107.687,0.0,0.0,-108.18,Inside Bar Strategy,10709.69
100012,2013-11-27,Buy,0.0,111.476,110.407,0.0,0.0,-107.1,Inside Bar Strategy,10602.6
100013,2013-12-12,Buy,0.0,109.877,108.604,0.0,0.0,-106.03,Inside Bar Strategy,10496.57
100014,2014-01-08,Buy,0.0,107.705,106.872,0.0,0.0,-104.97,Inside Bar Strategy,10391.6
100015,2014-01-14,Sell,0.0,106.439,107.461,0.0,0.0,-103.92,Inside Bar Strategy,10287.69
100016,2014-01-17,Sell,0.0,106.739,105.509,0.0,0.0,205.75,Inside Bar Strategy,10493.44
100017,2014-01-21,Buy,0.0,106.641,108.269,0.0,0.0,209.87,Inside Bar Strategy,10703.31
100018,2014-01-24,Sell,0.0,107.38,108.282,0.0,0.0,-107.03,Inside Bar Strategy,10596.28
100019,2014-02-12,Buy,0.0,109.196,108.455,0.0,0.0,-105.96,Inside Bar Strategy,10490.31
100020,2014-03-12,Sell,0.0,107.816,106.096,0.0,0.0,209.81,Inside Bar Strategy,10700.12
100021,2014-03-25,Sell,0.0,106.42,107.478,0.0,0.0,-107.0,Inside Bar Strategy,10593.12
100022,2014-04-11,Sell,0.0,107.256,107.866,0.0,0.0,-105.93,Inside Bar Strategy,10487.19
100023,2014-04-21,Sell,0.0,109.043,110.167,0.0,0.0,-104.87,Inside Bar Strategy,10382.32
100024,2014-04-28,Sell,0.0,109.234,110.593,0.0,0.0,-103.82,Inside Bar Strategy,10278.49
100025,2014-05-26,Sell,0.0,110.222,110.657,0.0,0.0,-102.78,Inside Bar Strategy,10175.71
100026,2014-06-12,Buy,0.0,110.207,111.833,0.0,0.0,203.51,Inside Bar Strategy,10379.22
100027,2014-06-17,Buy,0.0,113.247,112.314,0.0,0.0,-103.79,Inside Bar Strategy,10275.43
100028,2014-06-23,Buy,0.0,115.072,114.406,0.0,0.0,-102.75,Inside Bar Strategy,10172.68
100029,2014-07-24,Sell,0.0,106.853,108.221,0.0,0.0,-101.73,Inside Bar Strategy,10070.95
100030,2014-07-30,Sell,0.0,107.116,105.298,0.0,0.0,201.42,Inside Bar Strategy,10272.37
100031,2014-08-05,Sell,0.0,104.49,105.673,0.0,0.0,-102.72,Inside Bar Strategy,10169.64
100032,2014-08-18,Sell,0.0,102.008,98.614,0.0,0.0,203.39,Inside Bar Strategy,10373.04
100033,2014-09-16,Buy,0.0,98.377,97.019,0.0,0.0,-103.73,Inside Bar Strategy,10269.31
100034,2014-09-24,Sell,0.0,96.534,97.559,0.0,0.0,-102.69,Inside Bar Strategy,10166.61
100035,2014-10-08,Sell,0.0,91.398,88.258,0.0,0.0,203.33,Inside Bar Strategy,10369.95
100036,2014-10-20,Sell,0.0,85.46,87.318,0.0,0.0,-103.7,Inside Bar Strategy,10266.25
100037,2014-11-07,Buy,0.0,83.229,82.039,0.0,0.0,-102.66,Inside Bar Strategy,10163.58
100038,2014-11-18,Buy,0.0,79.424,77.915,0.0,0.0,-101.64,Inside Bar Strategy,10061.95
100039,2014-11-25,Sell,0.0,79.373,76.479,0.0,0.0,201.24,Inside Bar Strategy,10263.19
100040,2014-12-03,Sell,0.0,70.386,65.178,0.0,0.0,205.26,Inside Bar Strategy,10468.45
100041,2015-01-20,Sell,0.0,48.677,50.29,0.0,0.0,-104.68,Inside Bar Strategy,10363.77
100042,2015-01-26,Sell,0.0,48.545,49.766,0.0,0.0,-103.64,Inside Bar Strategy,10260.13
100043,2015-01-30,Buy,0.0,49.219,50.971,0.0,0.0,205.2,Inside Bar Strategy,10465.33
100044,2015-03-04,Sell,0.0,59.815,55.885,0.0,0.0,209.31,Inside Bar Strategy,10674.64
100045,2015-03-20,Sell,0.0,53.897,56.095,0.0,0.0,-106.75,Inside Bar Strategy,10567.89
100046,2015-04-10,Buy,0.0,57.999,62.119,0.0,0.0,211.36,Inside Bar Strategy,10779.25
100047,2015-04-20,Sell,0.0,62.928,64.469,0.0,0.0,-107.79,Inside Bar Strategy,10671.46
100048,2015-05-12,Buy,0.0,65.72,64.249,0.0,0.0,-106.71,Inside Bar Strategy,10564.74
100049,2015-05-21,Buy,0.0,65.142,64.101,0.0,0.0,-105.65,Inside Bar Strategy,10459.1
100050,2015-06-02,Buy,0.0,65.715,64.232,0.0,0.0,-104.59,Inside Bar Strategy,10354.5
100051,2015-06-09,Buy,0.0,63.353,65.165,0.0,0.0,207.09,Inside Bar Strategy,10561.59
100052,2015-06-17,Buy,0.0,64.385,63.41,0.0,0.0,-105.62,Inside Bar Strategy,10455.98
100053,2015-06-19,Sell,0.0,63.433,64.94,0.0,0.0,-104.56,Inside Bar Strategy,10351.42
100054,2015-07-02,Sell,0.0,61.827,58.823,0.0,0.0,207.03,Inside Bar Strategy,10558.45
100055,2015-07-09,Buy,0.0,57.73,55.86,0.0,0.0,-105.58,Inside Bar Strategy,10452.86
100056,2015-08-05,Buy,0.0,50.43,49.569,0.0,0.0,-104.53,Inside Bar Strategy,10348.33
100057,2015-08-13,Buy,0.0,49.979,48.684,0.0,0.0,-103.48,Inside Bar Strategy,10244.85
100058,2015-08-27,Buy,0.0,43.732,45.606,0.0,0.0,204.9,Inside Bar Strategy,10449.75
100059,2015-09-02,Sell,0.0,48.441,53.444,0.0,0.0,-104.5,Inside Bar Strategy,10345.25
100060,2015-11-03,Buy,0.0,49.659,48.558,0.0,0.0,-103.45,Inside Bar Strategy,10241.8
100061,2015-11-05,Sell,0.0,48.466,43.742,0.0,0.0,204.84,Inside Bar Strategy,10446.63
100062,2015-11-18,Sell,0.0,43.465,45.07,0.0,0.0,-104.47,Inside Bar Strategy,10342.17
100063,2016-01-11,Sell,0.0,32.757,28.935,0.0,0.0,206.84,Inside Bar Strategy,10549.01
100064,2016-02-11,Sell,0.0,30.305,31.857,0.0,0.0,-105.49,Inside Bar Strategy,10443.52
100065,2016-03-01,Buy,0.0,36.709,40.011,0.0,0.0,208.87,Inside Bar Strategy,10652.39
100066,2016-03-11,Buy,0.0,40.957,39.621,0.0,0.0,-106.52,Inside Bar Strategy,10545.87
100067,2016-05-16,Buy,0.0,48.088,49.726,0.0,0.0,210.92,Inside Bar Strategy,10756.78
100068,2016-06-24,Sell,0.0,49.866,47.648,0.0,0.0,215.14,Inside Bar Strategy,10971.92
100069,2016-06-29,Buy,0.0,48.758,47.445,0.0,0.0,-109.72,Inside Bar Strategy,10862.2
100070,2016-07-15,Buy,0.0,47.44,46.319,0.0,0.0,-108.62,Inside Bar Strategy,10753.58
100071,2016-08-26,Buy,0.0,49.75,48.678,0.0,0.0,-107.54,Inside Bar Strategy,10646.04
100072,2016-09-05,Buy,0.0,46.915,49.985,0.0,0.0,212.92,Inside Bar Strategy,10858.96
100073,2016-09-14,Sell,0.0,46.94,48.19,0.0,0.0,-108.59,Inside Bar Strategy,10750.37
100074,2016-09-27,Sell,0.0,45.715,47.625,0.0,0.0,-107.5,Inside Bar Strategy,10642.87
100075,2016-10-12,Sell,0.0,52.09,49.76,0.0,0.0,212.86,Inside Bar Strategy,10855.73
100076,2016-11-08,Buy,0.0,46.36,45.365,0.0,0.0,-108.56,Inside Bar Strategy,10747.17
100077,2016-11-11,Sell,0.0,45.535,46.895,0.0,0.0,-107.47,Inside Bar Strategy,10639.7
100078,2016-11-25,Sell,0.0,48.745,47.865,0.0,0.0,212.79,Inside Bar Strategy,10852.49
100079,2016-12-05,Buy,0.0,54.475,52.825,0.0,0.0,-108.52,Inside Bar Strategy,10743.97
100080,2016-12-14,Sell,0.0,55.13,56.415,0.0,0.0,-107.44,Inside Bar Strategy,10636.53
100081,2017-01-05,Buy,0.0,56.51,55.315,0.0,0.0,-106.37,Inside Bar Strategy,10530.16
100082,2017-01-16,Sell,0.0,55.265,56.175,0.0,0.0,-105.3,Inside Bar Strategy,10424.86
100083,2017-01-20,Buy,0.0,54.74,56.44,0.0,0.0,208.5,Inside Bar Strategy,10633.36
100084,2017-01-31,Buy,0.0,55.665,57.125,0.0,0.0,212.67,Inside Bar Strategy,10846.03
100085,2017-02-06,Sell,0.0,56.37,54.58,0.0,0.0,216.92,Inside Bar Strategy,11062.95
100086,2017-02-16,Sell,0.0,55.545,56.225,0.0,0.0,-110.63,Inside Bar Strategy,10952.32
100087,2017-03-06,Buy,0.0,55.925,55.06,0.0,0.0,-109.52,Inside Bar Strategy,10842.79
