Ticket,OpenTime,Type,Lots,OpenPrice,ClosePrice,Commission,Swap,Profit,Comment,Balance
100001,2009-11-06 12:00:00,Buy,0.0,90.705,90.43,0.0,0.0,-100.0,Inside Bar Strategy,9900.0
100002,2009-11-06 20:00:00,Buy,0.0,89.97,89.72,0.0,0.0,-99.0,Inside Bar Strategy,9801.0
100003,2009-11-10 04:00:00,Sell,0.01,89.855,90.04,0.0,0.0,-98.01,Inside Bar Strategy,9702.99
100004,2009-11-11 20:00:00,Buy,0.01,89.94,89.79,0.0,0.0,-97.03,Inside Bar Strategy,9605.96
100005,2009-11-12 12:00:00,Buy,0.01,89.83,90.2,0.0,0.0,192.12,Inside Bar Strategy,9798.08
100006,2009-11-15 20:00:00,Sell,0.01,89.615,89.7,0.0,0.0,-97.98,Inside Bar Strategy,9700.1
100007,2009-11-16 08:00:00,Sell,0.01,89.475,89.135,0.0,0.0,194.0,Inside Bar Strategy,9894.1
100008,2009-11-17 00:00:00,Buy,0.0,89.15,88.915,0.0,0.0,-98.94,Inside Bar Strategy,9795.16
100009,2009-11-18 00:00:00,Sell,0.01,89.23,89.345,0.0,0.0,-97.95,Inside Bar Strategy,9697.21
100010,2009-11-20 00:00:00,Sell,0.0,88.845,89.065,0.0,0.0,-96.97,Inside Bar Strategy,9600.24
100011,2009-11-25 00:00:00,Buy,0.01,88.615,88.45,0.0,0.0,-96.0,Inside Bar Strategy,9504.23
100012,2009-11-25 08:00:00,Sell,0.01,88.25,87.95,0.0,0.0,190.08,Inside Bar Strategy,9694.32
100013,2009-11-26 12:00:00,Sell,0.0,86.59,85.85,0.0,0.0,193.89,Inside Bar Strategy,9888.2
100014,2009-11-27 04:00:00,Buy,0.0,86.28,88.68,0.0,0.0,197.76,Inside Bar Strategy,10085.97
100015,2009-12-06 20:00:00,Sell,0.0,90.38,89.72,0.0,0.0,201.72,Inside Bar Strategy,10287.69
100016,2009-12-08 00:00:00,Sell,0.0,89.22,88.54,0.0,0.0,205.75,Inside Bar Strategy,10493.44
100017,2009-12-09 00:00:00,Buy,0.01,88.455,88.305,0.0,0.0,-104.93,Inside Bar Strategy,10388.51
100018,2009-12-09 20:00:00,Buy,0.0,87.955,88.425,0.0,0.0,207.77,Inside Bar Strategy,10596.28
100019,2009-12-11 00:00:00,Buy,0.01,88.33,88.65,0.0,0.0,211.93,Inside Bar Strategy,10808.2
100020,2009-12-13 20:00:00,Buy,0.01,89.235,89.03,0.0,0.0,-108.08,Inside Bar Strategy,10700.12
100021,2009-12-14 08:00:00,Sell,0.0,88.43,88.99,0.0,0.0,-107.0,Inside Bar Strategy,10593.12
100022,2009-12-17 00:00:00,Buy,0.0,89.945,89.73,0.0,0.0,-105.93,Inside Bar Strategy,10487.19
100023,2009-12-17 12:00:00,Buy,0.0,90.03,89.635,0.0,0.0,-104.87,Inside Bar Strategy,10382.32
100024,2009-12-18 20:00:00,Sell,0.0,90.34,90.8,0.0,0.0,-103.82,Inside Bar Strategy,10278.49
100025,2009-12-22 00:00:00,Buy,0.01,91.22,91.035,0.0,0.0,-102.78,Inside Bar Strategy,10175.71
100026,2009-12-22 08:00:00,Buy,0.0,91.405,91.965,0.0,0.0,203.51,Inside Bar Strategy,10379.22
100027,2009-12-30 00:00:00,Buy,0.01,92.055,92.365,0.0,0.0,207.58,Inside Bar Strategy,10586.81
100028,2009-12-31 00:00:00,Buy,0.01,92.505,92.405,0.0,0.0,-105.87,Inside Bar Strategy,10480.94
100029,2010-01-04 04:00:00,Buy,0.0,93.07,92.715,0.0,0.0,-104.81,Inside Bar Strategy,10376.13
100030,2010-01-05 00:00:00,Sell,0.0,92.375,91.895,0.0,0.0,207.52,Inside Bar Strategy,10583.65
100031,2010-01-05 12:00:00,Sell,0.0,91.85,92.155,0.0,0.0,-105.84,Inside Bar Strategy,10477.82
100032,2010-01-07 00:00:00,Sell,0.01,92.28,92.48,0.0,0.0,-104.78,Inside Bar Strategy,10373.04
100033,2010-01-07 20:00:00,Buy,0.0,93.33,93.07,0.0,0.0,-103.73,Inside Bar Strategy,10269.31
100034,2010-01-10 20:00:00,Sell,0.01,92.56,92.21,0.0,0.0,205.39,Inside Bar Strategy,10474.69
100035,2010-01-13 08:00:00,Buy,0.0,91.305,90.925,0.0,0.0,-104.75,Inside Bar Strategy,10369.95
100036,2010-01-17 20:00:00,Buy,0.01,90.935,90.74,0.0,0.0,-103.7,Inside Bar Strategy,10266.25
100037,2010-01-18 20:00:00,Sell,0.01,90.675,90.385,0.0,0.0,205.32,Inside Bar Strategy,10471.57
100038,2010-01-20 00:00:00,Buy,0.01,91.245,91.05,0.0,0.0,-104.72,Inside Bar Strategy,10366.86
