Ticket,OpenTime,Type,Lots,OpenPrice,ClosePrice,Commission,Swap,Profit,Comment,Balance
100001,2009-11-09,Buy,0.0,90.005,89.685,0.0,0.0,-100.0,Inside Bar Strategy,9900.0
100002,2009-11-16,Buy,0.01,89.675,89.48,0.0,0.0,-99.0,Inside Bar Strategy,9801.0
100003,2009-11-19,Sell,0.0,89.01,88.07,0.0,0.0,196.02,Inside Bar Strategy,9997.02
100004,2009-11-29,Buy,0.0,87.01,90.87,0.0,0.0,199.94,Inside Bar Strategy,10196.96
100005,2009-12-21,Buy,0.0,90.66,90.26,0.0,0.0,-101.97,Inside Bar Strategy,10094.99
100006,2009-12-28,Buy,0.01,91.605,91.405,0.0,0.0,-100.95,Inside Bar Strategy,9994.04
100007,2010-01-04,Buy,0.0,93.085,92.68,0.0,0.0,-99.94,Inside Bar Strategy,9894.1
100008,2010-01-10,Sell,0.0,92.28,89.5,0.0,0.0,197.88,Inside Bar Strategy,10091.98
100009,2010-02-01,Buy,0.0,90.285,91.155,0.0,0.0,201.84,Inside Bar Strategy,10293.82
100010,2010-02-08,Buy,0.0,89.485,90.175,0.0,0.0,205.88,Inside Bar Strategy,10499.7
100011,2010-02-15,Buy,0.01,90.12,89.975,0.0,0.0,-105.0,Inside Bar Strategy,10394.7
100012,2010-03-01,Buy,0.0,89.095,88.84,0.0,0.0,-103.95,Inside Bar Strategy,10290.75
100013,2010-03-12,Buy,0.0,90.74,90.205,0.0,0.0,-102.91,Inside Bar Strategy,10187.85
100014,2010-03-15,Buy,0.01,90.715,90.53,0.0,0.0,-101.88,Inside Bar Strategy,10085.97
100015,2010-03-18,Buy,0.0,90.71,90.03,0.0,0.0,-100.86,Inside Bar Strategy,9985.11
100016,2010-03-22,Buy,0.01,90.52,90.425,0.0,0.0,-99.85,Inside Bar Strategy,9885.26
100017,2010-03-24,Buy,0.0,90.465,91.145,0.0,0.0,197.71,Inside Bar Strategy,10082.96
100018,2010-03-29,Buy,0.01,92.48,92.32,0.0,0.0,-100.83,Inside Bar Strategy,9982.13
100019,2010-04-16,Sell,0.0,92.87,93.52,0.0,0.0,-99.82,Inside Bar Strategy,9882.31
100020,2010-04-26,Buy,0.0,94.19,93.93,0.0,0.0,-98.82,Inside Bar Strategy,9783.49
100021,2010-04-30,Buy,0.0,94.26,93.85,0.0,0.0,-97.83,Inside Bar Strategy,9685.65
100022,2010-05-03,Buy,0.0,94.13,94.74,0.0,0.0,193.71,Inside Bar Strategy,9879.37
100023,2010-05-10,Buy,0.0,92.715,91.66,0.0,0.0,-98.79,Inside Bar Strategy,9780.57
100024,2010-05-24,Buy,0.0,90.37,89.95,0.0,0.0,-97.81,Inside Bar Strategy,9682.77
100025,2010-05-31,Buy,0.0,91.26,90.91,0.0,0.0,-96.83,Inside Bar Strategy,9585.94
100026,2010-06-07,Buy,0.0,91.94,91.485,0.0,0.0,-95.86,Inside Bar Strategy,9490.08
100027,2010-06-10,Sell,0.0,91.055,91.665,0.0,0.0,-94.9,Inside Bar Strategy,9395.18
100028,2010-07-01,Sell,0.0,88.35,87.53,0.0,0.0,187.9,Inside Bar Strategy,9583.08
100029,2010-07-05,Buy,0.01,87.815,87.625,0.0,0.0,-95.83,Inside Bar Strategy,9487.25
100030,2010-07-19,Buy,0.0,86.665,87.125,0.0,0.0,189.75,Inside Bar Strategy,9677.0
100031,2010-07-22,Sell,0.0,86.785,87.43,0.0,0.0,-96.77,Inside Bar Strategy,9580.23
100032,2010-08-02,Buy,0.0,86.525,86.065,0.0,0.0,-95.8,Inside Bar Strategy,9484.43
100033,2010-08-09,Buy,0.01,85.445,85.745,0.0,0.0,189.69,Inside Bar Strategy,9674.11
100034,2010-08-16,Sell,0.0,85.92,85.29,0.0,0.0,193.48,Inside Bar Strategy,9867.6
100035,2010-08-19,Buy,0.0,85.61,85.185,0.0,0.0,-98.68,Inside Bar Strategy,9768.92
100036,2010-08-23,Sell,0.0,85.5,85.1,0.0,0.0,195.38,Inside Bar Strategy,9964.3
100037,2010-08-26,Buy,0.0,84.83,84.035,0.0,0.0,-99.64,Inside Bar Strategy,9864.66
100038,2010-09-03,Buy,0.0,84.55,83.995,0.0,0.0,-98.65,Inside Bar Strategy,9766.01
100039,2010-09-10,Buy,0.0,84.025,83.49,0.0,0.0,-97.66,Inside Bar Strategy,9668.35
