Ticket,OpenTime,Type,Lots,OpenPrice,ClosePrice,Commission,Swap,Profit,Comment,Balance
100001,2009-03-24 12:00:00,Sell,0.0,927.551,919.047,0.0,0.0,200.0,Inside Bar Strategy,10200.0
100002,2009-03-24 14:00:00,Buy,0.0,923.982,919.296,0.0,0.0,-102.0,Inside Bar Strategy,10098.0
100003,2009-03-24 17:00:00,Buy,0.0,923.999,921.602,0.0,0.0,-100.98,Inside Bar Strategy,9997.02
100004,2009-03-25 00:00:00,Buy,0.0,929.498,927.099,0.0,0.0,-99.97,Inside Bar Strategy,9897.05
100005,2009-03-25 16:00:00,Buy,0.0,929.91,939.53,0.0,0.0,197.94,Inside Bar Strategy,10094.99
100006,2009-03-26 22:00:00,Buy,0.0,933.722,932.673,0.0,0.0,-100.95,Inside Bar Strategy,9994.04
100007,2009-03-27 04:00:00,Buy,0.0,933.392,931.447,0.0,0.0,-99.94,Inside Bar Strategy,9894.1
100008,2009-03-27 15:00:00,Sell,0.0,923.375,926.105,0.0,0.0,-98.94,Inside Bar Strategy,9795.16
100009,2009-03-30 07:00:00,Buy,0.0,926.404,923.338,0.0,0.0,-97.95,Inside Bar Strategy,9697.21
100010,2009-03-30 12:00:00,Buy,0.0,913.891,920.207,0.0,0.0,193.94,Inside Bar Strategy,9891.15
100011,2009-03-30 15:00:00,Sell,0.0,924.183,914.157,0.0,0.0,197.82,Inside Bar Strategy,10088.98
100012,2009-03-30 18:00:00,Buy,0.0,917.892,914.693,0.0,0.0,-100.89,Inside Bar Strategy,9988.09
100013,2009-03-30 22:00:00,Buy,0.0,917.08,915.198,0.0,0.0,-99.88,Inside Bar Strategy,9888.2
100014,2009-03-31 02:00:00,Buy,0.0,917.448,914.134,0.0,0.0,-98.88,Inside Bar Strategy,9789.32
100015,2009-03-31 23:00:00,Sell,0.0,916.362,918.609,0.0,0.0,-97.89,Inside Bar Strategy,9691.43
100016,2009-04-01 02:00:00,Sell,0.0,919.559,921.079,0.0,0.0,-96.91,Inside Bar Strategy,9594.51
100017,2009-04-01 09:00:00,Buy,0.0,919.037,924.069,0.0,0.0,191.89,Inside Bar Strategy,9786.41
100018,2009-04-01 14:00:00,Sell,0.0,924.929,916.857,0.0,0.0,195.73,Inside Bar Strategy,9982.13
100019,2009-04-02 21:00:00,Buy,0.0,903.914,901.58,0.0,0.0,-99.82,Inside Bar Strategy,9882.31
