Ticket,OpenTime,Type,Lots,OpenPrice,ClosePrice,Commission,Swap,Profit,Comment,Balance
100001,2009-03-09,Buy,0.0,940.189,934.082,0.0,0.0,-100.0,Inside Bar Strategy,9900.0
100002,2009-03-12,Buy,0.0,912.61,891.683,0.0,0.0,-99.0,Inside Bar Strategy,9801.0
100003,2009-03-23,Buy,0.0,954.935,949.747,0.0,0.0,-98.01,Inside Bar Strategy,9702.99
100004,2009-03-30,Buy,0.0,924.541,919.717,0.0,0.0,-97.03,Inside Bar Strategy,9605.96
100005,2009-04-01,Buy,0.0,924.064,911.841,0.0,0.0,-96.06,Inside Bar Strategy,9509.9
100006,2009-04-08,Buy,0.0,884.37,871.305,0.0,0.0,-95.1,Inside Bar Strategy,9414.8
100007,2009-04-20,Buy,0.0,868.726,866.294,0.0,0.0,-94.15,Inside Bar Strategy,9320.65
100008,2009-04-23,Buy,0.0,893.007,916.495,0.0,0.0,186.41,Inside Bar Strategy,9507.07
100009,2009-04-30,Sell,0.0,887.235,902.484,0.0,0.0,-95.07,Inside Bar Strategy,9412.0
100010,2009-05-07,Buy,0.0,911.645,944.223,0.0,0.0,188.24,Inside Bar Strategy,9600.24
100011,2009-05-25,Buy,0.0,957.696,954.627,0.0,0.0,-96.0,Inside Bar Strategy,9504.23
100012,2009-06-01,Buy,0.0,979.511,974.959,0.0,0.0,-95.04,Inside Bar Strategy,9409.19
100013,2009-06-22,Sell,0.0,932.601,928.991,0.0,0.0,188.18,Inside Bar Strategy,9597.37
100014,2009-06-26,Buy,0.0,939.779,929.563,0.0,0.0,-95.97,Inside Bar Strategy,9501.4
100015,2009-07-05,Sell,0.0,929.283,920.131,0.0,0.0,190.03,Inside Bar Strategy,9691.43
100016,2009-07-13,Buy,0.0,914.041,910.184,0.0,0.0,-96.91,Inside Bar Strategy,9594.51
100017,2009-07-17,Buy,0.0,939.275,932.553,0.0,0.0,-95.95,Inside Bar Strategy,9498.57
100018,2009-07-20,Buy,0.0,938.796,944.048,0.0,0.0,189.97,Inside Bar Strategy,9688.54
100019,2009-07-22,Buy,0.0,953.251,943.789,0.0,0.0,-96.89,Inside Bar Strategy,9591.66
