Time	Open	High	Low	Close	Volume	Spread
2010-01-14 04:00:00	91.665	91.93	91.585	91.84	43439	10
2010-01-14 08:00:00	91.84	92.04	91.74	91.785	100938	9
2010-01-14 12:00:00	91.785	91.92	91.065	91.09	118992	9
2010-01-14 16:00:00	91.09	91.17	90.84	90.98	103218	9
2010-01-14 20:00:00	90.98	91.275	90.94	91.27	37964	13
2010-01-15 00:00:00	91.27	91.315	90.915	91.14	87309	17
2010-01-15 04:00:00	91.14	91.21	90.815	90.95	78231	16
2010-01-15 08:00:00	90.95	91.06	90.6	90.95	154307	8
2010-01-15 12:00:00	90.95	91.185	90.785	90.85	166243	12
2010-01-15 16:00:00	90.85	90.96	90.7	90.89	105701	9
2010-01-15 20:00:00	90.89	90.935	90.74	90.75	24723	12
2010-01-17 20:00:00	90.745	90.995	90.725	90.845	12667	53
2010-01-18 00:00:00	90.845	90.955	90.715	90.91	53430	14
2010-01-18 04:00:00	90.905	91.06	90.8	90.98	75546	9
2010-01-18 08:00:00	90.98	91.03	90.62	90.715	109706	10
2010-01-18 12:00:00	90.715	90.84	90.635	90.82	72650	10
2010-01-18 16:00:00	90.82	90.82	90.675	90.735	24457	9
2010-01-18 20:00:00	90.735	90.785	90.56	90.7	17815	17
2010-01-19 00:00:00	90.7	90.765	90.41	90.48	56747	15
2010-01-19 04:00:00	90.48	90.65	90.345	90.625	79843	12
2010-01-19 08:00:00	90.63	90.89	90.315	90.85	147335	11
2010-01-19 12:00:00	90.85	91.26	90.81	91.19	191434	9
2010-01-19 16:00:00	91.19	91.26	91.045	91.1	100714	9
2010-01-19 20:00:00	91.105	91.245	91.05	91.2	59155	11
2010-01-20 00:00:00	91.2	91.36	91.06	91.255	70631	16
2010-01-20 04:00:00	91.255	91.265	90.88	90.895	100383	14
2010-01-20 08:00:00	90.895	90.995	90.79	90.905	156639	8
2010-01-20 12:00:00	90.905	91.46	90.85	91.205	167487	9
2010-01-20 16:00:00	91.205	91.32	91.115	91.195	93843	7
2010-01-20 20:00:00	91.195	91.32	91.175	91.195	33829	13
2010-01-21 00:00:00	91.2	91.57	91.18	91.56	79880	18
2010-01-21 04:00:00	91.555	91.665	91.45	91.51	77493	9
2010-01-21 08:00:00	91.51	91.86	91.505	91.77	136036	12
2010-01-21 12:00:00	91.775	91.87	91.015	91.175	168305	10
2010-01-21 16:00:00	91.175	91.18	90.11	90.38	157772	13
2010-01-21 20:00:00	90.38	90.505	89.855	90.435	57181	10
2010-01-22 00:00:00	90.435	90.45	89.78	89.845	82104	16
2010-01-22 04:00:00	89.845	90.54	89.82	90.425	96700	14
2010-01-22 08:00:00	90.425	90.565	90.055	90.055	143725	11
2010-01-22 12:00:00	90.05	90.33	89.915	90.07	173881	11
2010-01-22 16:00:00	90.07	90.24	89.81	89.845	119330	11
2010-01-22 20:00:00	89.845	89.95	89.79	89.81	30887	13
2010-01-24 20:00:00	90.255	90.255	89.845	89.995	8096	29
2010-01-25 00:00:00	89.995	90.27	89.81	90.105	53291	17
2010-01-25 04:00:00	90.105	90.335	90.04	90.225	55322	10
2010-01-25 08:00:00	90.225	90.32	89.99	90.255	124077	11
2010-01-25 12:00:00	90.255	90.33	89.955	90.125	139932	10
2010-01-25 16:00:00	90.125	90.31	90	90.25	86293	10
2010-01-25 20:00:00	90.25	90.465	90.175	90.4	39346	10
2010-01-26 00:00:00	90.41	90.55	89.84	90.03	61907	14
2010-01-26 04:00:00	90.03	90.42	89.555	90.12	74518	9
2010-01-26 08:00:00	90.12	90.165	89.37	89.675	134454	11
2010-01-26 12:00:00	89.675	89.77	89.41	89.5	160092	13
2010-01-26 16:00:00	89.5	89.73	89.335	89.705	107603	10
2010-01-26 20:00:00	89.705	89.705	89.555	89.645	42538	11
2010-01-27 00:00:00	89.64	89.725	89.17	89.185	73998	9
2010-01-27 04:00:00	89.19	89.42	89.135	89.365	62155	10
2010-01-27 08:00:00	89.365	89.61	89.3	89.545	116216	9
2010-01-27 12:00:00	89.545	89.655	89.215	89.43	115391	9
2010-01-27 16:00:00	89.43	90.04	89.335	89.94	115997	9
2010-01-27 20:00:00	89.94	90.08	89.8	89.965	56758	16
2010-01-28 00:00:00	89.965	90.39	89.94	90.345	80025	12
2010-01-28 04:00:00	90.34	90.505	90.145	90.43	69910	10
2010-01-28 08:00:00	90.43	90.55	90.135	90.16	118101	9
2010-01-28 12:00:00	90.16	90.31	89.885	89.9	134285	9
2010-01-28 16:00:00	89.9	89.975	89.625	89.91	101819	8
2010-01-28 20:00:00	89.91	89.955	89.675	89.785	42526	14
2010-01-29 00:00:00	89.79	90.05	89.585	89.95	69477	13
2010-01-29 04:00:00	89.945	90.29	89.805	90.195	76440	9
2010-01-29 08:00:00	90.195	90.365	90.105	90.3	88614	9
2010-01-29 12:00:00	90.3	90.92	90.17	90.67	120592	9
2010-01-29 16:00:00	90.67	90.67	90.23	90.29	104685	8
