Ticket,OpenTime,Type,Lots,OpenPrice,ClosePrice,Commission,Swap,Profit,Comment,Balance
3,2020.01.06 11:32,Sell Close,6.03,0,107.928,0.0,0.0,-1000.08,sl 107.928,98999.92
5,2020.01.07 17:30,Sell Close,5.74,0,108.537,0.0,-0.53,1967.33,tp 108.537,100966.72
7,2020.01.07 23:40,Sell Close,6.37,0,108.368,0.0,0.0,-1011.04,sl 108.368,99955.68000000001
9,2020.01.09 11:47,Sell Close,2.35,0,109.384,0.0,-0.65,1976.52,tp 109.384,101931.55
11,2020.01.14 09:29,Sell Close,11.26,0,110.014,0.0,0.0,-1013.27,sl 110.014,100918.28
13,2020.01.14 19:57,Buy Close,6.68,0,110.111,0.0,0.0,-1007.06,sl 110.111,99911.22
15,2020.01.15 17:12,Buy Close,11.58,0,109.959,0.0,0.0,-1000.46,sl 109.959,98910.76
17,2020.01.16 10:31,Sell Close,25.29,0,110.04,0.0,0.0,1976.5,tp 110.040,100887.26
19,2020.01.17 11:02,Sell Close,20.18,0,110.173,0.0,0.0,-1025.73,sl 110.174,99861.53
21,2020.01.21 02:39,Buy Close,26.83,0,110.208,0.0,-14.61,-1022.48,sl 110.207,98824.44
23,2020.01.23 01:31,Buy Close,15.33,0,109.791,0.0,-25.12,1982.73,tp 109.791,100782.05
25,2020.01.24 16:47,Sell Close,10.05,0,109.442,0.0,0.0,-1019.31,sl 109.443,99762.74
27,2020.01.27 00:03,Buy Close,5.87,0,109.014,0.0,-3.22,2304.62,tp 109.070,102064.14
29,2020.01.28 10:38,Sell Close,10.9,0,108.945,0.0,0.0,-1020.51,sl 108.945,101043.63
31,2020.01.30 14:56,Sell Close,3.4,0,108.772,0.0,-1.25,-1009.63,sl 108.772,100032.75
33,2020.01.31 16:25,Buy Close,10.88,0,108.821,0.0,0.0,1999.61,tp 108.821,102032.36
35,2020.02.03 10:23,Sell Close,10.67,0,108.47,0.0,0.0,-1032.87,sl 108.471,100999.49
37,2020.02.05 10:33,Buy Close,12.44,0,109.491,0.0,0.0,-1011.19,sl 109.490,99988.3
39,2020.02.07 08:23,Buy Close,17.1,0,109.935,0.0,0.0,-995.5,sl 109.935,98992.8
41,2020.02.13 01:48,Sell Close,8.84,0,109.917,0.0,-2.41,-989.22,sl 109.917,98001.17
43,2020.02.19 03:46,Buy Close,6.8100000000000005,0,109.978,0.0,-14.88,-978.36,sl 109.978,97007.93
45,2020.02.24 16:16,Buy Close,5.3,0,111.028,0.0,0.0,1918.98,tp 111.028,98926.90999999999
47,2020.02.25 11:12,Buy Close,6.1,0,110.415,0.0,0.0,1988.86,tp 110.415,100915.76999999999
49,2020.02.28 05:23,Buy Close,2.5,0,109.121,0.0,-1.37,2034.44,tp 109.121,102948.84
