Ticket,OpenTime,Type,Lots,OpenPrice,ClosePrice,Commission,Swap,Profit,Comment
3,2025.01.02 15:12,Sell Close,22.17,0,2640.33,0.0,0.0,-9998.67,sl 2640.33
5,2025.01.03 07:53,Buy Close,33.45,0,2656.23,0.0,0.0,18063.0,tp 2656.25
7,2025.01.03 15:23,Buy Close,30.18,0,2649.49,0.0,0.0,21759.78,tp 2649.54
9,2025.01.06 09:31,Buy Close,17.08,0,2629.78,0.0,-78.57,26115.32,tp 2629.87
11,2025.01.06 13:32,Sell Close,22.95,0,2646.23,0.0,0.0,31234.95,tp 2646.20
13,2025.01.06 15:26,Sell Close,31.76,0,2642.05,0.0,0.0,-18706.64,sl 2642.05
15,2025.01.07 09:42,Sell Close,63.06,0,2638.99,0.0,0.0,-16900.08,sl 2639.00
17,2025.01.07 14:07,Sell Close,56.1,0,2649.25,0.0,0.0,30350.1,tp 2649.24
19,2025.01.08 16:03,Buy Close,19.28,0,2663.04,0.0,-88.69,-18219.6,sl 2663.02
21,2025.01.09 10:35,Buy Close,36.83,0,2666.74,0.0,0.0,-16352.52,sl 2666.74
23,2025.01.09 14:58,Sell Close,34.3,0,2675.2,0.0,0.0,29600.9,tp 2675.15
25,2025.01.15 15:30,Buy Close,47.39,0,2688.98,0.0,0.0,-17913.42,sl 2688.93
27,2025.01.16 09:15,Buy Close,58.4,0,2698.18,0.0,0.0,-16118.4,sl 2698.14
29,2025.01.17 17:00,Buy Close,41.37,0,2713.0,0.0,0.0,-14396.76,sl 2712.97
31,2025.01.20 15:35,Sell Close,25.51,0,2702.94,0.0,0.0,-12959.08,sl 2702.99
33,2025.01.20 16:06,Buy Close,15.93,0,2710.23,0.0,0.0,-11612.97,sl 2710.18
35,2025.01.21 13:49,Buy Close,20.26,0,2724.09,0.0,0.0,-10474.42,sl 2724.04
37,2025.01.23 11:20,Sell Close,33.68,0,2751.01,0.0,0.0,-9598.8,sl 2751.09
39,2025.01.23 14:27,Sell Close,11.4,0,2745.23,0.0,0.0,-8401.8,sl 2745.26
41,2025.01.24 17:36,Sell Close,15.75,0,2785.88,0.0,0.0,15072.75,tp 2785.87
43,2025.01.27 11:04,Buy Close,16.92,0,2761.08,0.0,0.0,-9052.2,sl 2761.07
45,2025.01.28 14:48,Buy Close,26.83,0,2744.61,0.0,0.0,-8129.49,sl 2744.61
47,2025.01.29 17:27,Buy Close,18.34,0,2752.25,0.0,0.0,14672.0,tp 2752.27
49,2025.01.30 16:28,Sell Close,16.99,0,2787.09,0.0,0.0,17601.64,tp 2787.07
51,2025.01.31 13:19,Buy Close,28.89,0,2796.44,0.0,0.0,-10718.19,sl 2796.38
53,2025.02.04 09:23,Buy Close,26.17,0,2810.65,0.0,0.0,18999.42,tp 2810.67
55,2025.02.04 15:12,Sell Close,30.74,0,2824.5,0.0,0.0,22870.56,tp 2824.46
57,2025.02.07 08:53,Buy Close,40.42,0,2859.35,0.0,0.0,27445.18,tp 2859.38
59,2025.02.07 15:31,Sell Close,28.48,0,2860.05,0.0,0.0,-16461.44,sl 2860.07
61,2025.02.10 16:02,Sell Close,19.55,0,2898.25,0.0,0.0,-14877.55,sl 2898.31
63,2025.02.11 09:02,Sell Close,21.3,0,2914.64,0.0,0.0,-13269.9,sl 2914.64
65,2025.02.11 14:52,Buy Close,25.85,0,2892.83,0.0,0.0,23885.4,tp 2892.83
