Ticket,OpenTime,Type,Lots,OpenPrice,ClosePrice,Commission,Swap,Profit,Comment,Balance
3,2025.01.03 17:15,Buy Close,5.71,0,157.459,0.0,0.0,-1000.87,sl 157.458,98999.13
5,2025.01.06 12:26,Buy Close,6.49,0,157.807,0.0,0.0,-991.14,sl 157.806,98007.99
7,2025.01.07 17:05,Buy Close,2.89,0,158.317,0.0,0.0,-978.44,sl 158.316,97029.55
9,2025.01.10 17:17,Sell Close,2.03,0,157.562,0.0,-0.64,-972.73,sl 157.562,96056.18000000001
11,2025.01.13 10:35,Buy Close,4.09,0,157.653,0.0,0.0,-965.08,sl 157.651,95091.1
13,2025.01.14 11:01,Buy Close,3.88,0,157.748,0.0,0.0,-949.41,sl 157.748,94141.69
15,2025.01.17 18:23,Sell Close,5.86,0,156.315,0.0,0.0,1900.66,tp 156.314,96042.35
17,2025.01.24 05:41,Sell Close,3.54,0,155.629,0.0,-0.91,-966.72,sl 155.630,95074.72
19,2025.02.03 13:36,Buy Close,3.6,0,154.636,0.0,0.0,1913.66,tp 154.636,96988.38
21,2025.02.04 17:00,Sell Close,2.96,0,154.822,0.0,0.0,-975.06,sl 154.827,96013.32
23,2025.02.05 03:05,Buy Close,2.58,0,153.673,0.0,-1.0,1929.04,tp 153.674,97941.36
25,2025.02.06 16:36,Sell Close,2.56,0,151.934,0.0,0.0,-987.38,sl 151.934,96953.98
27,2025.02.11 13:34,Buy Close,2.91,0,152.307,0.0,-1.15,-966.77,sl 152.306,95986.06
29,2025.02.13 16:12,Buy Close,4.11,0,153.423,0.0,0.0,1904.68,tp 153.424,97890.73999999999
31,2025.02.17 04:52,Buy Close,3.1,0,151.551,0.0,-1.22,1984.15,tp 151.553,99873.66999999998
33,2025.02.18 23:26,Buy Close,4.89,0,152.102,0.0,0.0,-993.42,sl 152.102,98880.24999999999
35,2025.02.21 18:23,Buy Close,3.84,0,149.475,0.0,0.0,2019.23,tp 149.479,100899.47999999998
37,2025.02.26 14:57,Buy Close,3.95,0,149.632,0.0,0.0,-1011.05,sl 149.630,99888.42999999998
39,2025.02.27 16:34,Sell Close,4.71,0,150.025,0.0,0.0,1990.43,tp 150.025,101878.85999999997
41,2025.03.04 11:25,Sell Close,2.43,0,148.839,0.0,0.0,-1026.93,sl 148.840,100851.92999999998
43,2025.03.05 16:03,Buy Close,3.75,0,148.894,0.0,0.0,2014.86,tp 148.894,102866.78999999998
45,2025.03.06 10:22,Buy Close,4.09,0,148.183,0.0,0.0,2064.56,tp 148.183,104931.34999999998
47,2025.03.11 14:57,Buy Close,3.35,0,147.792,0.0,-1.37,-1049.48,sl 147.792,103880.49999999997
49,2025.03.17 06:55,Buy Close,3.2800000000000002,0,148.984,0.0,-1.32,-1028.14,sl 148.984,102851.03999999996
51,2025.03.24 15:45,Buy Close,5.98,0,149.914,0.0,0.0,-1033.14,sl 149.911,101817.89999999997
53,2025.03.28 16:07,Buy Close,6.75,0,150.253,0.0,0.0,2030.58,tp 150.253,103848.47999999997
55,2025.04.09 20:21,Buy Close,1.44,0,145.774,0.0,0.0,-1065.87,sl 145.772,102782.60999999997
57,2025.04.10 18:23,Buy Close,1.37,0,144.495,0.0,0.0,2064.08,tp 144.496,104846.68999999997
59,2025.04.11 10:33,Sell Close,1.6600000000000001,0,142.878,0.0,0.0,-1058.43,sl 142.880,103788.25999999998
61,2025.04.16 10:48,Sell Close,1.27,0,142.066,0.0,-0.27,-1037.88,sl 142.067,102750.10999999999
63,2025.04.17 10:58,Buy Close,2.99,0,142.908,0.0,-3.79,-1018.93,sl 142.908,101727.38999999998
65,2025.04.21 00:06,Buy Close,12.86,0,142.066,0.0,-5.42,2063.89,tp 142.068,103785.85999999999
67,2025.04.22 21:42,Sell Close,3.51,0,141.419,0.0,0.0,2079.9,tp 141.419,105865.75999999998
69,2025.04.23 16:37,Buy Close,2.52,0,142.249,0.0,0.0,-1054.07,sl 142.246,104811.68999999997
71,2025.04.28 15:21,Sell Close,2.86,0,143.218,0.0,-0.2,-1040.41,sl 143.218,103771.07999999997
73,2025.05.01 06:08,Sell Close,3.07,0,143.405,0.0,-0.86,2072.28,tp 143.403,105842.49999999997
75,2025.05.01 17:48,Sell Close,1.83,0,145.347,0.0,0.0,2078.7,tp 145.346,107921.19999999997
77,2025.05.08 08:10,Buy Close,4.0,0,143.948,0.0,0.0,-1092.06,sl 143.947,106829.13999999997
79,2025.05.12 10:27,Sell Close,2.61,0,147.474,0.0,0.0,2084.83,tp 147.472,108913.96999999997
81,2025.05.20 08:00,Sell Close,4.49,0,144.692,0.0,-0.31,-1117.13,sl 144.695,107796.52999999997
83,2025.05.29 02:36,Sell Close,2.84,0,145.641,0.0,-0.59,2141.1,tp 145.641,109937.03999999996
85,2025.06.10 17:33,Buy Close,5.06,0,144.763,0.0,0.0,-1104.54,sl 144.763,108832.49999999997
87,2025.06.11 15:30,Sell Close,4.9,0,144.835,0.0,0.0,-1085.99,sl 144.835,107746.50999999997
89,2025.06.16 21:21,Buy Close,4.74,0,144.481,0.0,0.0,-1082.63,sl 144.480,106663.87999999996
91,2025.06.17 17:30,Buy Close,2.48,0,145.016,0.0,0.0,-1063.72,sl 145.015,105600.15999999996
93,2025.06.20 17:14,Sell Close,6.83,0,145.855,0.0,0.0,2097.86,tp 145.855,107698.01999999996
95,2025.07.07 05:26,Buy Close,4.59,0,144.672,0.0,-1.9,-1085.06,sl 144.672,106611.05999999995
97,2025.07.09 04:10,Sell Close,4.36,0,146.998,0.0,-0.3,2096.98,tp 146.997,108707.73999999995
99,2025.07.15 02:03,Sell Close,4.67,0,147.788,0.0,-0.64,2167.71,tp 147.786,110874.80999999995
101,2025.07.21 09:31,Buy Close,7.06,0,147.853,0.0,0.0,2229.93,tp 147.856,113104.73999999995
103,2025.07.22 13:00,Sell Close,6.03,0,147.403,0.0,0.0,-1137.25,sl 147.404,111967.48999999995
105,2025.07.31 10:38,Buy Close,2.27,0,149.465,0.0,0.0,-1104.13,sl 149.465,110863.35999999994
107,2025.08.21 09:45,Buy Close,4.68,0,147.583,0.0,-5.72,-1122.57,sl 147.583,109735.06999999995
109,2025.08.22 17:00,Buy Close,11.56,0,148.3,0.0,0.0,2260.55,tp 148.310,111995.61999999995
111,2025.08.25 16:06,Buy Close,5.3,0,147.507,0.0,0.0,-1124.62,sl 147.507,110870.99999999996
113,2025.08.26 19:23,Sell Close,2.27,0,147.103,0.0,0.0,-1111.06,sl 147.103,109759.93999999996
115,2025.09.09 02:27,Buy Close,4.21,0,147.236,0.0,-1.71,2190.27,tp 147.236,111948.49999999996
117,2025.09.16 09:12,Buy Close,7.01,0,146.901,0.0,-2.85,2242.8,tp 146.901,114188.44999999995
119,2025.09.18 15:35,Sell Close,5.88,0,147.627,0.0,0.0,2278.28,tp 147.625,116466.72999999995
121,2025.09.25 15:51,Sell Close,2.76,0,149.283,0.0,-1.13,2299.95,tp 149.283,118765.54999999996
123,2025.10.07 19:42,Sell Close,4.75,0,151.364,0.0,0.0,2341.05,tp 151.364,121106.59999999996
125,2025.10.09 16:07,Sell Close,4.83,0,152.469,0.0,0.0,-1238.63,sl 152.481,119867.96999999996
127,2025.10.13 09:57,Buy Close,8.74,0,152.014,0.0,0.0,-1207.39,sl 152.013,118660.57999999996
129,2025.10.14 07:10,Sell Close,4.55,0,151.976,0.0,-0.3,-1191.57,sl 151.978,117468.70999999996
131,2025.10.16 19:30,Sell Close,2.93,0,150.511,0.0,0.0,-1185.54,sl 150.512,116283.16999999997
133,2025.10.29 01:58,Sell Close,3.21,0,151.811,0.0,-0.21,-1152.39,sl 151.812,115130.56999999996
135,2025.10.29 20:01,Buy Close,3.73,0,152.47,0.0,0.0,-1149.8,sl 152.468,113980.76999999996
137,2025.10.30 12:40,Sell Close,3.51,0,153.942,0.0,0.0,2259.56,tp 153.941,116240.32999999996
139,2025.11.04 07:35,Sell Close,5.38,0,153.742,0.0,-0.7,-1161.79,sl 153.742,115077.83999999995
141,2025.11.06 17:57,Sell Close,3.5,0,153.066,0.0,-0.68,-1154.73,sl 153.066,113922.42999999995
143,2025.11.11 10:59,Buy Close,5.79,0,154.392,0.0,0.0,-1136.31,sl 154.390,112786.11999999995
145,2025.11.14 12:36,Buy Close,6.17,0,154.763,0.0,-2.4,-1124.26,sl 154.763,111659.45999999995
147,2025.11.19 12:32,Sell Close,4.3,0,156.076,0.0,-0.28,2217.83,tp 156.073,113877.00999999995
